Bill. Date,Purchase Order,Material, Unit price,Tons Invoiced
2020-06-22,68000541,61640,7.34,4.760476
2020-06-22,68000541,61045,7.34,18.168678
2020-06-22,68000541,61891,5.52,
2020-06-22,68000541,61940,5.52,19.578753
2020-06-22,68000541,61031,14.93,91.684866
2020-06-22,68000541,61225,14.93,16.18617
2020-06-22,68000541,61233,14.93,8.969415
2020-06-22,68000541,61293,7.34,9.10018
2020-06-22,68000541,61640,7.34,9.643592
2020-06-22,68000541,61047,9.81,2.38836
2020-06-22,68000541,61561,12.98,5.293925
2020-06-22,68000541,61051,12.98,5.5118
2020-06-22,68000541,61053,12.98,6.579125
2020-06-22,68000541,61031,14.93,104.277537
2020-06-22,68000541,61225,14.93,16.165695
2020-06-22,68000541,61233,14.93,18.000255
2020-06-22,68000541,61041,14.93,52.200057
2020-06-22,68000541,61293,7.34,4.569946
2020-06-22,68000541,61640,7.34,14.282742
2020-06-22,68000541,61046,7.34,25.194782
2020-06-17,68000541,61862,5.52,17.895857
2020-06-17,68000541,61940,5.52,19.522578
2020-06-17,68000541,61566,9.29,23.71568
2020-06-17,68000541,61014,9.29,29.91915
2020-06-17,68000541,61183,9.29,40.85967
2020-06-17,68000541,61016,9.29,19.48931
2020-06-17,68000541,61670,5.75,8.880928
2020-06-17,68000541,61580,5.75,9.218384
2020-06-17,68000541,61276,5.75,12.471424
2020-06-17,68000541,61293,7.34,6.845794
2020-06-17,68000541,61046,7.34,19.543122
2020-06-17,68000541,61566,9.29,18.22043
2020-06-17,68000541,61183,9.29,42.17717
2020-06-17,68000541,61016,9.29,19.26644
2020-06-17,68000541,61670,5.75,26.429312
2020-06-17,68000541,61580,5.75,18.363296
2020-06-17,68000541,61276,5.75,10.155152
2020-06-17,68000541,61283,5.75,19.0428
2020-06-17,68000541,61293,7.34,13.706918
2020-06-17,68000541,61640,7.34,23.941226
2020-06-17,68000541,61045,7.34,10.435788
2020-06-17,68000541,61561,12.98,5.310375
2020-06-17,68000541,61051,12.98,3.044475
2020-06-29,68000541,61047,9.81,101.6418
2020-06-29,68000541,61440,9.81,16.964415
2020-06-10,68000540,61930,5.46,8.129111
2020-06-10,68000540,61931,5.46,28.52085
2020-06-10,68000540,61090,14.78,131.977209
2020-06-10,68000540,61096,8.76,104.14845
2020-06-10,68000540,61097,8.76,24.803625
2020-06-23,68000540,61085,11.1,321.012985
2020-06-23,68000540,62020,11.1,154.45766
2020-06-19,68000540,61930,5.46,18.993677
2020-06-19,68000540,61931,5.46,19.900609
2020-06-19,68000540,61083,8.8,329.870646
2020-06-19,68000540,61084,8.8,347.784633
2020-06-19,68000540,61089,14.78,526.455657
2020-06-19,68000540,61090,14.78,29.64507
2020-06-19,68000540,61094,8.01,329.735084
2020-06-19,68000540,61102,19.65,73.41516
2020-06-19,68000540,61103,19.65,25.93773
2020-06-10,68000538,61089,14.78,238.304703
2020-06-10,68000538,61094,8.01,101.032813
2020-06-10,68000538,61096,8.76,17.525725
2020-06-10,68000538,61094,8.01,2.555392
2020-06-10,68000538,61096,8.76,7.88865
2020-05-26,68000536,61670,5.75,14.98392
2020-05-26,68000536,61276,5.75,7.333312
2020-05-26,68000536,61283,5.75,42.3752
2020-05-26,68000536,61580,5.75,22.368976
2020-05-26,68000536,61276,5.75,41.672512
2020-06-01,68000536,61030,14.93,13.517049
2020-06-01,68000536,61225,14.93,5.601414
2020-06-01,68000536,61233,14.93,21.753732
2020-06-01,68000536,61041,14.93,15.814071
2020-06-01,68000536,61670,5.75,4.2756
2020-06-01,68000536,61276,5.75,12.272848
2020-06-01,68000536,61283,5.75,7.942704
2020-06-01,68000536,61293,7.34,22.635986
2020-06-01,68000536,61640,7.34,28.585194
2020-06-01,68000536,61045,7.34,51.29126
2020-06-01,68000536,61046,7.34,25.43831
2020-06-01,68000536,61891,5.52,
2020-06-01,68000536,61940,5.52,40.966234
2020-06-01,68000536,61030,14.93,8.030841
2020-06-01,68000536,61041,14.93,31.502562
2020-06-01,68000536,61670,5.75,6.386464
2020-06-01,68000536,61293,7.34,24.675168
2020-06-01,68000536,61640,7.34,30.970688
2020-06-01,68000536,61045,7.34,2.551788
2020-06-01,68000536,61046,7.34,16.89074
2020-06-01,68000536,61330,9.81,19.036095
2020-06-09,68000536,61225,14.93,39.499278
2020-06-09,68000536,61233,14.93,15.590757
2020-06-09,68000536,61041,14.93,22.407567
2020-06-09,68000536,61046,7.34,8.469752
2020-06-09,68000536,61561,12.98,11.595325
2020-06-09,68000536,61051,12.98,10.70615
2020-06-09,68000536,61053,12.98,16.764475
2020-06-17,68000536,61016,9.29,19.92893
2020-06-17,68000536,61580,5.75,2.222528
2020-06-17,68000536,61276,5.75,2.437792
2020-06-17,68000536,61640,7.34,2.39002
2020-06-17,68000536,61046,7.34,2.807434
2020-06-17,68000536,61344,9.81,5.53098
2020-06-22,68000536,62140,9.29,8.01754
2020-06-22,68000536,61014,9.29,65.36262
2020-06-22,68000536,61183,9.29,2.9512
2020-06-29,68000536,61014,9.29,8.12719
2020-06-29,68000536,61016,9.29,12.91592
2020-06-17,68000536,61344,9.81,2.796885
2020-06-22,68000536,61183,9.29,15.33638
2020-06-22,68000536,61016,9.29,43.18289
2020-06-22,68000536,61670,5.75,4.250848
2020-06-22,68000536,61014,9.29,18.69065
2020-06-22,68000536,61580,5.75,2.247616
2020-06-22,68000536,61330,9.81,2.349165
2020-06-15,68000535,62121,524.79,89.002
2020-06-25,68000535,61080,601.94,45.406
2020-06-25,68000535,61660,524.79,25.886
2020-06-25,68000535,60810,524.79,26.49
2020-06-25,68000535,62070,524.79,3.338
2020-06-25,68000535,61742,724.35,8.146
2020-06-25,68000535,61731,724.35,77.602
2020-06-25,68000535,55836,724.35,53.072
2020-06-05,68000533,61930,5.46,91.382494
2020-06-05,68000533,61931,5.46,90.201642
2020-06-05,68000533,61083,8.71,177.658026
2020-06-05,68000533,61084,8.71,176.990198
2020-06-05,68000533,61085,10.98,334.346185
2020-06-05,68000533,62020,10.98,342.561765
2020-06-05,68000533,61089,14.63,93.3387
2020-06-05,68000533,61090,14.63,92.505777
2020-06-05,68000533,61097,8.66,15.734775
2020-06-05,68000533,61101,11.5,62.79805
2020-06-05,68000533,61103,19.5,15.26343
2020-05-26,68000533,61089,14.63,21.346962
2020-05-26,68000533,61090,14.63,74.604621
2020-06-10,68000533,61083,8.71,320.150432
2020-06-10,68000533,61084,8.71,358.150296
2020-05-18,68000531,61862,5.22,7.16365
2020-05-18,68000531,61566,9.11,68.81141
2020-05-18,68000531,61014,9.11,5.50426
2020-05-18,68000531,61016,9.11,33.10495
2020-05-18,68000531,61031,14.62,59.03625
2020-05-18,68000531,61225,14.62,20.367165
2020-05-18,68000531,61041,14.62,34.748259
2020-05-18,68000531,61440,9.59,11.614785
2020-05-18,68000531,61561,12.78,2.6495
2020-05-18,68000531,61566,9.11,18.54054
2020-05-18,68000531,61183,9.11,18.73332
2020-05-18,68000531,61031,14.62,59.222163
2020-05-18,68000531,61225,14.62,2.898168
2020-05-18,68000531,61233,14.62,16.071783
2020-05-18,68000531,61047,9.59,84.858735
2020-05-18,68000531,61055,12.78,47.520018
2020-05-18,68000531,61566,9.11,37.55623
2020-05-18,68000531,61014,9.11,51.74239
2020-05-18,68000531,61016,9.11,13.27292
2020-05-18,68000531,61031,14.62,104.23413
2020-05-18,68000531,61233,14.62,19.467357
2020-05-18,68000531,61041,14.62,6.976515
2020-05-18,68000531,61047,9.59,18.88029
2020-06-08,68000531,61891,5.22,
2020-05-26,68000531,61183,9.11,37.17339
2020-05-26,68000531,61031,14.62,8.505042
2020-05-26,68000531,61233,14.62,6.430515
2020-05-26,68000531,61041,14.62,3.494946
2020-05-26,68000531,61580,5.62,6.845776
2020-05-26,68000531,61276,5.62,12.34968
2020-05-26,68000531,61283,5.62,21.546336
2020-05-04,68000531,61941,5.22,18.050579
2020-05-11,68000531,61891,5.22,
2020-05-11,68000531,61862,5.22,27.045962
2020-05-11,68000531,61940,5.22,38.816497
2020-05-11,68000531,61047,9.59,56.605185
2020-05-11,68000531,61561,12.78,18.63435
2020-05-26,68000531,61183,9.11,18.65274
2020-05-26,68000531,61670,5.62,19.347216
2020-05-26,68000531,61580,5.62,13.659072
2020-05-26,68000531,61276,5.62,19.73888
2020-05-26,68000531,61293,7.18,27.066648
2020-05-26,68000531,61045,7.18,21.605956
2020-05-26,68000531,61047,9.59,4.694625
2020-05-26,68000531,61055,12.78,2.629809
2020-05-11,68000531,61891,5.22,
2020-05-11,68000531,61862,5.22,22.109089
2020-05-11,68000531,61940,5.22,32.916945
2020-05-11,68000531,61047,9.59,75.821655
2020-05-11,68000531,61051,12.78,3.07755
2020-05-11,68000531,61051,12.78,3.064775
2020-06-22,68000531,61891,5.22,
2020-06-02,68000527,60136,519.28,5.504
2020-06-02,68000527,62070,519.28,147.362
2020-06-02,68000527,61662,519.28,32.385
2020-06-02,68000527,60216,519.28,46.056
2020-06-02,68000527,62131,519.28,68.567
2020-06-02,68000527,61742,718.84,27.327
2020-06-02,68000527,61730,718.84,51.296
2020-06-02,68000527,61053,718.84,88.437
2020-05-04,68000527,61662,519.28,2.506
2020-06-25,68000527,60720,519.28,36.134
2020-06-25,68000527,62020,519.28,70.567
2020-06-25,68000527,61203,519.28,6.851
2020-06-25,68000527,60216,519.28,2.713
2020-06-25,68000527,61731,718.84,9.031
2020-06-25,68000527,61053,718.84,10.298
2020-06-15,68000527,60720,519.28,12.012
2020-06-15,68000527,62020,519.28,6.382
